Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",1210,2,10u,
C2,0805,1,100n,
C3,0603,1,560p,
C4,0603,1,150n,
C5,0603,1,4u7,
C6,2220,1,2u2,
C7,1812,1,100n,
D1,1812,1,D,
Q1,LFPAK56,1,Q_NMOS_GDS,
"R1, R13, R19, R25, R31, R37, R43, R49, R55, R66, R7, R73",0603,12,7K87,
"R10, R11, R12, R14, R15, R16, R17, R18, R2, R20, R21, R22, R23, R24, R26, R27, R28, R29, R3, R30, R32, R33, R34, R35, R36, R38, R39, R4, R40, R41, R42, R44, R45, R46, R47, R48, R5, R50, R51, R52, R53, R54, R56, R57, R58, R59, R6, R60, R67, R68, R69, R70, R71, R74, R75, R76, R77, R78, R8, R9",0603,60,1K,
R61,0805,1,10m,
R62,0603,1,1M6,
R63,0603,1,13K,
R64,0603,1,20R,
R65,0603,1,300K,
R72,0603,1,86K6,
T1,750312367,1,750312367,
"U1, U10, U11, U12, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U42, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U55, U56, U57, U58, U59, U6, U60, U61, U62, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U73, U74, U75, U76, U77, U78, U8, U9",SOT-323-3_2P2X1P35_ONS,72,MSD42WT1G,
"U13, U15, U28, U41, U54",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,5,PCA9685BS,
U14,RPi_PicoW_SMD,1,PicoW,
U79,MSOP-12_MSE_LIT,1,LT3759EMSE-TRPBF,
"V1, V2, V3, V4, V5, V6",IN14,6,IN14,
