Designator,Mid X,Mid Y,Rotation,Layer
C1,253.525,-88.865,180.0,top
C2,253.35,-91.465,180.0,top
C3,238.775,-100.365,0.0,top
C4,241.8,-99.09,90.0,top
C5,251.175,-118.8,180.0,top
C6,251.6,-122.7,180.0,top
C7,239.8,-86.615,90.0,top
C8,253.525,-85.565,180.0,top
D1,248.9,-114.15,90.0,top
Q1,247.62,-89.015,270.0,top
R1,177.525,-113.44,270.0,top
R10,162.025,-88.615,90.0,top
R11,165.025,-86.115,90.0,top
R12,168.525,-85.115,90.0,top
R13,124.525,-113.44,270.0,top
R14,127.525,-111.615,270.0,top
R15,129.525,-108.115,270.0,top
R16,126.525,-88.115,90.0,top
R17,122.525,-85.615,90.0,top
R18,119.525,-84.94,90.0,top
R19,115.125,-114.115,270.0,top
R2,180.525,-111.615,270.0,top
R20,112.025,-112.615,270.0,top
R21,109.025,-108.115,270.0,top
R22,109.025,-88.615,90.0,top
R23,112.025,-86.115,90.0,top
R24,115.525,-85.115,90.0,top
R25,153.525,-113.44,270.0,top
R26,156.525,-111.615,270.0,top
R27,158.525,-108.115,270.0,top
R28,155.525,-88.115,90.0,top
R29,151.525,-85.615,90.0,top
R3,182.525,-108.115,270.0,top
R30,148.525,-84.94,90.0,top
R31,144.125,-114.115,270.0,top
R32,141.025,-112.615,270.0,top
R33,138.025,-108.115,270.0,top
R34,138.025,-88.615,90.0,top
R35,141.025,-86.115,90.0,top
R36,144.525,-85.115,90.0,top
R37,206.525,-113.44,270.0,top
R38,209.525,-111.615,270.0,top
R39,211.525,-108.115,270.0,top
R4,179.525,-88.115,90.0,top
R40,208.525,-88.115,90.0,top
R41,204.525,-85.615,90.0,top
R42,201.525,-84.94,90.0,top
R43,197.125,-114.115,270.0,top
R44,194.025,-112.615,270.0,top
R45,191.025,-108.115,270.0,top
R46,191.025,-88.615,90.0,top
R47,194.025,-86.115,90.0,top
R48,197.525,-85.115,90.0,top
R49,230.525,-113.44,270.0,top
R5,175.525,-85.615,90.0,top
R50,233.525,-111.615,270.0,top
R51,235.525,-108.115,270.0,top
